Country,HDI,LifeExpectancy,ExpectedSchooling,MeanSchooling,GNI
Iceland,0.972,82.7,18.9,13.9,69117.0
Norway,0.97,83.3,18.8,13.1,112710.0
Switzerland,0.97,84.0,16.7,13.9,81949.0
Denmark,0.962,81.9,18.7,13.0,76008.0
Germany,0.959,81.4,17.3,14.3,64053.0
Sweden,0.959,83.3,19.0,12.7,66102.0
Australia,0.958,83.9,20.7,12.9,58277.0
"Hong Kong, China (SAR)",0.955,85.5,16.9,12.4,69436.0
Netherlands,0.955,82.2,18.6,12.7,68344.0
Belgium,0.951,82.1,19.0,12.7,63582.0
Ireland,0.949,82.4,19.2,11.7,90885.0
Finland,0.948,81.9,19.5,13.0,57068.0
Singapore,0.946,83.7,16.7,12.0,111239.0
United Kingdom,0.946,81.3,17.8,13.5,54372.0
United Arab Emirates,0.94,82.9,15.6,13.0,71142.0
Canada,0.939,82.6,15.9,13.9,54688.0
Liechtenstein,0.938,83.6,15.4,12.4,166812.0
New Zealand,0.938,82.1,19.3,12.9,47260.0
United States,0.938,79.3,15.9,13.9,73650.0
Korea (Republic of),0.937,84.3,16.6,12.7,49726.0
Slovenia,0.931,81.6,17.5,13.0,46361.0
Austria,0.93,82.0,16.3,12.4,63479.0
Japan,0.925,84.7,15.5,12.7,47775.0
Malta,0.924,83.3,15.9,12.4,52155.0
Luxembourg,0.922,82.2,14.4,12.6,85461.0
France,0.92,83.3,16.1,11.8,55060.0
Israel,0.919,82.4,14.9,13.5,48050.0
Spain,0.918,83.7,17.8,10.8,46008.0
Czechia,0.915,79.8,16.8,13.0,45889.0
Italy,0.915,83.7,16.7,10.8,52389.0
San Marino,0.915,85.7,14.6,11.4,64706.0
Andorra,0.913,84.0,14.5,11.6,64631.0
Cyprus,0.913,81.6,16.2,12.6,45394.0
Greece,0.908,81.9,20.8,11.6,35761.0
Poland,0.906,78.6,16.7,13.2,42218.0
Estonia,0.905,79.2,16.0,13.6,40881.0
Saudi Arabia,0.9,78.7,16.9,11.6,50299.0
Bahrain,0.899,81.3,15.9,11.1,52819.0
Lithuania,0.895,76.0,16.5,13.6,41916.0
Portugal,0.89,82.4,17.5,9.7,41064.0
Croatia,0.889,78.6,16.3,12.1,41380.0
Latvia,0.889,76.2,16.5,13.4,37998.0
Qatar,0.886,82.4,13.1,10.8,105353.0
Slovakia,0.88,78.3,14.9,13.1,36793.0
Chile,0.878,81.2,16.9,11.3,28047.0
Hungary,0.87,77.0,15.5,12.3,37236.0
Argentina,0.865,77.4,18.8,11.2,25876.0
Montenegro,0.862,77.1,15.5,12.8,28026.0
Uruguay,0.862,78.1,17.5,10.5,28650.0
Oman,0.858,80.0,13.4,11.9,36096.0
Türkiye,0.853,77.2,19.8,9.0,34507.0
Kuwait,0.852,80.4,15.9,7.6,56612.0
Antigua and Barbuda,0.851,77.6,15.5,11.6,27387.0
Seychelles,0.848,72.9,18.2,11.2,29195.0
Bulgaria,0.845,75.6,15.3,11.5,32175.0
Romania,0.845,75.9,14.1,11.6,39374.0
Georgia,0.844,74.5,16.8,12.7,20753.0
Saint Kitts and Nevis,0.84,72.1,18.4,10.8,29105.0
Panama,0.839,79.6,13.3,10.8,34385.0
Brunei Darussalam,0.837,75.3,13.7,9.3,75827.0
Kazakhstan,0.837,74.4,14.0,12.5,30989.0
Costa Rica,0.833,80.8,16.3,8.8,23417.0
Serbia,0.833,76.8,15.0,11.6,23115.0
Russian Federation,0.832,73.2,13.2,12.4,39222.0
Belarus,0.824,74.4,13.7,12.3,26725.0
Bahamas,0.82,74.6,11.9,12.8,30975.0
Malaysia,0.819,76.7,12.7,11.1,32553.0
North Macedonia,0.815,77.4,14.8,10.2,22128.0
Armenia,0.811,75.7,14.4,11.3,20221.0
Barbados,0.811,76.2,16.6,9.9,17328.0
Albania,0.81,79.6,14.5,10.2,17627.0
Trinidad and Tobago,0.807,73.5,14.2,10.8,27000.0
Mauritius,0.806,74.9,14.2,10.1,27280.0
Bosnia and Herzegovina,0.804,77.9,13.2,11.0,19827.0
High human development,0.7396826923076922,73.13285714285715,13.581428571428571,9.106730769230769,24197.048076923078
Iran (Islamic Republic of),0.799,77.7,14.0,10.8,16096.0
Saint Vincent and the Grenadines,0.798,71.2,16.3,11.3,17247.0
